,date,y,group,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,pre_period_flag,y_scaled
0,2020-01-01 00:00:00+00:00,0.0,cat=08424  YOGURT--COMPACTO,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.553806458392346
1,2020-01-02 00:00:00+00:00,6599702.0,cat=08424  YOGURT--COMPACTO,8759243.0,3094725.0,18585958.0,30910415.0,19257878.0,27501569.0,21893850.0,3712203.0,1562268.0,20336068.0,48056278.0,0.0,816940.0,597830.0,0.0,9324340.0,25444276.0,4629550.0,8982555.0,2288640.0,10401408.0,10848717.0,6533448.0,7054468.0,15001899.0,3875020.0,9096951.0,1,0.5754471804778553
2,2020-01-03 00:00:00+00:00,6124807.0,cat=08424  YOGURT--COMPACTO,7249990.0,2940183.0,17240194.0,28660997.0,17712320.0,26281820.0,20697476.0,3786931.0,1253453.0,18581585.0,44952463.0,0.0,917330.0,544690.0,0.0,9794880.0,24711902.0,4529670.0,8664988.0,2351530.0,10373649.0,9469458.0,6423293.0,6268307.0,13011891.0,3389945.0,8722852.0,1,0.2783183242308211
3,2020-01-04 00:00:00+00:00,6445462.0,cat=08424  YOGURT--COMPACTO,7109405.0,2880422.0,19450067.0,37793755.0,25199024.0,32693943.0,23579345.0,4274254.0,2165661.0,23763584.0,53536797.0,0.0,1184540.0,543300.0,0.0,10363627.0,28076616.0,5373800.0,9890618.0,2414800.0,9368288.0,11298262.0,5821226.0,6408009.0,14622315.0,3535064.0,9227139.0,1,0.4789434169352984
4,2020-01-05 00:00:00+00:00,6508012.0,cat=08424  YOGURT--COMPACTO,8591973.0,3130337.0,20246737.0,39796032.0,26009484.0,32433868.0,23235027.0,3750377.0,2413989.0,23595096.0,54780902.0,0.0,881910.0,690940.0,0.0,8945580.0,25950300.0,5630290.0,8799300.0,2700230.0,10254385.0,12553626.0,6629253.0,5840425.0,16487789.0,3978423.0,9911980.0,1,0.518079246872973
5,2020-01-06 00:00:00+00:00,7071367.0,cat=08424  YOGURT--COMPACTO,8526733.0,3495112.0,20706007.0,28192887.0,19170184.0,28115339.0,23489813.0,6326518.0,1119307.0,22985413.0,45230190.0,0.0,1006000.0,458290.0,0.0,9272955.0,23679578.0,4008170.0,9103215.0,2345150.0,13305864.0,11758045.0,7349937.0,6953453.0,14428871.0,4162483.0,9173777.0,1,0.8705551137720727
6,2020-01-07 00:00:00+00:00,5803542.0,cat=08424  YOGURT--COMPACTO,7849088.0,3064514.0,16391242.0,24920130.0,16324349.0,23041788.0,18980029.0,6029080.0,1037814.0,20258769.0,39982557.0,0.0,1226350.0,361090.0,0.0,8442530.0,22121835.0,3764810.0,8418136.0,2165270.0,9141672.0,9909768.0,5924381.0,6182060.0,12804224.0,3658970.0,7729580.0,1,0.07731157115444957
7,2020-01-08 00:00:00+00:00,5191026.0,cat=08424  YOGURT--COMPACTO,7782642.0,3122340.0,14138016.0,23523440.0,15034681.0,22505787.0,17421983.0,5426424.0,1098791.0,19585266.0,39347106.0,0.0,1920390.0,322070.0,0.0,8572470.0,23122107.0,4208770.0,8493805.0,2261270.0,8259689.0,9771073.0,5570420.0,6025165.0,12093733.0,3395365.0,7675855.0,1,-0.30592299335561773
8,2020-01-09 00:00:00+00:00,5072836.0,cat=08424  YOGURT--COMPACTO,7015268.0,2895977.0,13413557.0,22253314.0,13822126.0,21124020.0,15669167.0,4617751.0,889919.0,18116892.0,35273805.0,0.0,1657030.0,272640.0,0.0,8400210.0,22441196.0,4168880.0,8629366.0,2164860.0,8456111.0,9128095.0,5450824.0,5735439.0,11542586.0,3170305.0,7266980.0,1,-0.3798712545919689
9,2020-01-10 00:00:00+00:00,5799032.0,cat=08424  YOGURT--COMPACTO,6460539.0,2678090.0,14373165.0,23201884.0,14785171.0,22288896.0,17809311.0,5215907.0,1013611.0,17836623.0,38951778.0,0.0,1636820.0,428650.0,0.0,8831410.0,23498224.0,4326050.0,9249424.0,2120680.0,8553553.0,9319732.0,5294539.0,5786429.0,11191492.0,3172573.0,7253785.0,1,0.0744897870933958
